Question,Answer
họ đang có khoảng thời gian vui vẻ với tiền của chúng tôi.,các nhà lập pháp của chúng ta đã tiêu nó vào những chuyến du lịch hạng nhất trên khắp thế giới.
vậy khi nào chúng ta sẽ ngừng cho họ nhiều hơn?,họ đang có khoảng thời gian vui vẻ với tiền của chúng tôi.
nhưng quảng cáo truyền hình nói rằng thuế của chúng tôi sẽ không tăng.,ý bạn là các biện pháp sẽ tăng thuế của chúng tôi.
bạn có tin vào quảng cáo truyền hình không?,nhưng quảng cáo truyền hình nói rằng thuế của chúng tôi sẽ không tăng.
tôi thích đoạn mà người lính cứu hỏa cho chúng ta biết lý do tại sao chúng ta nên bỏ phiếu đồng ý.,bạn có tin vào quảng cáo truyền hình không?
"""tiêu đề phải là """"trường học tốt hơn với chi phí lớn.""""""","""nhưng tiêu đề của biện pháp 1 là """"trường học tốt hơn mà không mất phí."""""""
tôi không thể tin rằng họ sẽ nói dối chúng tôi.,"""tiêu đề phải là """"trường học tốt hơn với chi phí lớn."""""""
tất nhiên là họ nói dối—đó là điều các chính trị gia làm!,tôi không thể tin rằng họ sẽ nói dối chúng tôi.
đó có phải là thứ bạn đã ăn không?,tôi bị đau bụng.
Có lẽ. tôi không chắc.,đó có phải là thứ bạn đã ăn không?
bạn đã ăn gì cho bữa sáng?,Có lẽ. tôi không chắc.
nó không có mùi khó chịu.,có lẽ sữa đã hỏng.
có lẽ quả chuối đã xấu.,nó không có mùi khó chịu.
Tôi không biết.,vết bẩn này là gì?
nó trông giống như máu.,Tôi không biết.
tôi nghĩ mũi tôi đang chảy máu.,nó trông giống như máu.
bạn nên làm ướt áo ngay lập tức.,tôi nghĩ mũi tôi đang chảy máu.
Tại sao?,bạn nên làm ướt áo ngay lập tức.
bởi vì điều đó làm máu chảy ra khỏi áo.,Tại sao?
một chút máu là gì?,bởi vì điều đó làm máu chảy ra khỏi áo.
chiếc áo sơ mi trắng của bạn bị hỏng rồi.,một chút máu là gì?
lần sau tôi sẽ ngâm nó ngay lập tức.,bạn có thể mặc cái này quanh nhà.
tại sao họ lại đau?,ngón tay của tôi đau.
tôi gõ quá nhiều.,tại sao họ lại đau?
bạn nên nghỉ ngơi.,tôi gõ quá nhiều.
tôi cần gõ để kiếm tiền.,bạn nên nghỉ ngơi.
nhưng việc gõ phím khiến bạn đau đớn.,tôi cần gõ để kiếm tiền.
có lẽ tôi nên gặp bác sĩ.,nhưng việc gõ phím khiến bạn đau đớn.
bác sĩ quá đắt.,có lẽ tôi nên gặp bác sĩ.
anh ấy có thể bảo tôi nghỉ ngơi một lát.,bác sĩ quá đắt.
anh ta có thể muốn mổ xẻ bạn.,anh ấy có thể bảo tôi nghỉ ngơi một lát.
anh ấy có thể nói tôi ổn.,anh ta có thể muốn mổ xẻ bạn.
anh ấy có thể nói bạn bị ung thư xương.,anh ấy có thể nói tôi ổn.
anh ấy nghĩ tôi đã quá căng thẳng.,bác sĩ đã nói gì?
căng thẳng gây đau bụng của bạn?,anh ấy nghĩ tôi đã quá căng thẳng.
căng thẳng gây ra những vấn đề khác nhau với những người khác nhau.,căng thẳng gây đau bụng của bạn?
vậy anh ấy bảo bạn phải làm gì?,căng thẳng gây ra những vấn đề khác nhau với những người khác nhau.
anh ấy nói tôi cần suy nghĩ tích cực.,vậy anh ấy bảo bạn phải làm gì?
anh ấy không đưa thuốc cho bạn à?,anh ấy nói tôi cần suy nghĩ tích cực.
tôi ghét thuốc. nó khiến tôi cảm thấy khác biệt.,anh ấy không đưa thuốc cho bạn à?
vậy làm thế nào để bạn suy nghĩ tích cực?,tôi ghét thuốc. nó khiến tôi cảm thấy khác biệt.
tôi nghĩ về những điều tốt đẹp,vậy làm thế nào để bạn suy nghĩ tích cực?
như thế nào?,tôi nghĩ về những điều tốt đẹp
bạn đã làm điều đó như thế nào?,tôi đã cắt ngón tay của mình.
đó là một vết cắt giấy.,bạn đã làm điều đó như thế nào?
giấy có thể nguy hiểm.,đó là một vết cắt giấy.
băng hỗ trợ ở đâu?,vết cắt giấy có thể gây tổn thương rất nhiều.
tôi nghĩ chúng ở trong tủ thuốc.,băng hỗ trợ ở đâu?
nó ở trên đầu ngón tay của tôi.,tôi nghĩ chúng ở trong tủ thuốc.
băng cứu trợ có thể không có tác dụng.,nó ở trên đầu ngón tay của tôi.
tôi không được sử dụng ngón tay này cho đến khi vết cắt lành lại.,băng cứu trợ có thể không có tác dụng.
có thể mất một hoặc hai ngày để lành.,tôi không được sử dụng ngón tay này cho đến khi vết cắt lành lại.
nó có mùi rất tệ.,tôi không thể chịu được khói thuốc lá
một điếu thuốc bốc mùi cả vỉa hè.,nó có mùi rất tệ.
những người hút thuốc nghĩ rằng họ rất ngầu.,một điếu thuốc bốc mùi cả vỉa hè.
họ rất yếu.,những người hút thuốc nghĩ rằng họ rất ngầu.
một điếu thuốc nhỏ kiểm soát chúng.,họ rất yếu.
họ trông thật ngu ngốc khi hít một hơi.,một điếu thuốc nhỏ kiểm soát chúng.
và sau đó họ thổi khói ra khỏi miệng.,họ trông thật ngu ngốc khi hít một hơi.
họ nghĩ nó thật tuyệt.,và sau đó họ thổi khói ra khỏi miệng.
thuốc lá có mùi hôi.,họ nghĩ nó thật tuyệt.
chị tôi bị cảm lạnh. cô ấy đã đưa nó cho tôi.,làm thế nào bạn có được nó?
bạn đã uống gì trị cảm lạnh chưa?,chị tôi bị cảm lạnh. cô ấy đã đưa nó cho tôi.
Đúng. tôi phải thở bằng miệng,mũi của bạn bị nghẹt?
bạn đã thử thuốc nhỏ mũi chưa?,Đúng. tôi phải thở bằng miệng
tôi không quan tâm. tôi không thích nhỏ thuốc vào mũi.,họ làm việc rất tốt.
Cảm ơn.,Chắc chắn.
bạn không nên nằm dưới nắng quá lâu.,Cảm ơn.
tôi muốn có làn da rám nắng. tôi không muốn trông xanh xao thế này.,bạn không nên nằm dưới nắng quá lâu.
có gì sai khi trông nhợt nhạt?,tôi muốn có làn da rám nắng. tôi không muốn trông xanh xao thế này.
mọi người nghĩ rằng bạn có thể bị bệnh.,có gì sai khi trông nhợt nhạt?
ai nghĩ vậy?,mọi người nghĩ rằng bạn có thể bị bệnh.
Tôi không biết.,ai nghĩ vậy?
Thà xanh xao còn hơn bị ung thư da.,Tôi không biết.
tôi biết điều đó,Thà xanh xao còn hơn bị ung thư da.
vậy tại sao bạn lại tranh cãi với tôi? đừng nằm dưới nắng quá lâu!,tôi biết điều đó
tất nhiên là bạn có thể.,tôi không thể bỏ thuốc lá
tôi không có đủ sức mạnh ý chí,tất nhiên là bạn có thể.
tất nhiên là có.,tôi không có đủ sức mạnh ý chí
tôi ước gì tôi chưa bao giờ bắt đầu,tất nhiên là có.
người hút thuốc nào cũng vậy.,tôi ước gì tôi chưa bao giờ bắt đầu
Tôi đã cố gắng bỏ thuốc rất nhiều lần.,người hút thuốc nào cũng vậy.
những người khác cũng vậy.,Tôi đã cố gắng bỏ thuốc rất nhiều lần.
dường như không có gì hiệu quả.,những người khác cũng vậy.
bạn phải tin vào chính mình,vậy tại sao tôi không thể bỏ cuộc?
bạn đã làm gì thế?,lưng tôi đang giết chết tôi.
tôi đã ra khỏi xe của tôi,bạn đã làm gì thế?
thế thôi à?,tôi đã ra khỏi xe của tôi
Tôi đã bị thương ở lưng một lần chỉ vì hắt hơi.,thế thôi à?
bạn nên đi khám bác sĩ.,Tôi đã bị thương ở lưng một lần chỉ vì hắt hơi.
bác sĩ của tôi nói tôi cần phẫu thuật.,bạn nên đi khám bác sĩ.
Vì thế?,bác sĩ của tôi nói tôi cần phẫu thuật.
tôi không có bảo hiểm.,bạn không có tiền?
có lẽ xoa lưng sẽ giúp ích.,tôi không có bảo hiểm.
ba gói cái gì?,anh trai tôi hút ba gói một ngày.
anh ấy đã hút thuốc lá liên tục trong 30 năm.,anh ấy là một người nghiện thuốc lá.
điều đó thật không thể tin được. anh ấy vẫn có thể thở được chứ?,anh ấy đã hút thuốc lá liên tục trong 30 năm.
bác sĩ của anh ấy nói rằng tim và phổi của anh ấy khỏe mạnh.,làm sao anh ta vẫn còn sống được?
có lẽ tôi nên bắt đầu hút thuốc.,bác sĩ của anh ấy nói rằng tim và phổi của anh ấy khỏe mạnh.
đó là một công việc vặt.,tôi ghét đánh răng
họ chải bằng ngón tay của họ.,ngày xưa họ đã làm gì?
họ cũng ăn bằng ngón tay!,họ chải bằng ngón tay của họ.
tại sao người ta gọi đó là ngày xưa tốt đẹp?,họ cũng ăn bằng ngón tay!
có lẽ vì họ không phải đánh răng và dùng chỉ nha khoa.,tại sao người ta gọi đó là ngày xưa tốt đẹp?
ai đã phát minh ra việc dùng chỉ nha khoa?,có lẽ vì họ không phải đánh răng và dùng chỉ nha khoa.
tôi không thể đợi cho đến khi rụng hết răng.,tôi ghét dùng chỉ nha khoa hơn là đánh răng!
đường này khó leo.,hãy dừng lại một chút. tôi cần nghỉ ngơi và uống chút nước.
đặc biệt là vào một ngày nắng nóng như thế này.,đường này khó leo.
tôi không thể tin là chúng ta chưa từng nhìn thấy bất kỳ loài động vật nào.,đặc biệt là vào một ngày nắng nóng như thế này.
cảm ơn Chúa! tôi không muốn nhìn thấy bất kỳ động vật hoang dã nào,tôi không thể tin là chúng ta chưa từng nhìn thấy bất kỳ loài động vật nào.
tất cả những gì chúng tôi thấy cho đến nay là một vài con thằn lằn.,cảm ơn Chúa! tôi không muốn nhìn thấy bất kỳ động vật hoang dã nào
tất cả những gì bạn mất là một chút mồ hôi.,tôi cá là tôi đã giảm được vài cân rồi.
tôi thậm chí còn chưa giảm được một pound mỡ nào?,tất cả những gì bạn mất là một chút mồ hôi.
có vẻ như hầu như ngày nào tôi cũng nổi lên một nốt mụn mới.,nổi mụn hút.
có thể đó là thứ gì đó trong chế độ ăn uống của bạn.,có vẻ như hầu như ngày nào tôi cũng nổi lên một nốt mụn mới.
bạn có thể đúng.,thì có thể nó nằm trong gen của bạn.
mụn có di truyền trong gia đình bạn không?,bạn có thể đúng.
không phải là tôi đã nhận thấy.,mụn có di truyền trong gia đình bạn không?
tôi không tin bất cứ điều gì tôi không nhìn thấy bằng chính mắt mình.,bạn có tin tất cả những gì bạn nghe thấy không?
bạn không thể tin được những gì bạn nghe được trên tivi hoặc radio.,tôi không tin bất cứ điều gì tôi không nhìn thấy bằng chính mắt mình.
bạn không thể tin được những gì bạn đọc trên báo.,bạn không thể tin được những gì bạn nghe được trên tivi hoặc radio.
mọi người kể cho bạn một câu chuyện khác nhau về cùng một điều.,bạn không thể tin được những gì bạn đọc trên báo.
ba người khác nhau sẽ cho bạn ba câu chuyện khác nhau.,mọi người kể cho bạn một câu chuyện khác nhau về cùng một điều.
và chính phủ sẽ cho bạn câu chuyện thứ tư.,ba người khác nhau sẽ cho bạn ba câu chuyện khác nhau.
chính phủ nói rằng chúng tôi không có gì phải lo lắng.,nhưng cúm lợn vừa giết chết 20 người ở Mexico.
vậy thì tại sao một số trường học lại bảo bọn trẻ ở nhà?,chính phủ nói rằng chúng tôi không có gì phải lo lắng.
tôi không ngoáy mũi.,đừng ngoáy mũi.
bạn đang làm gì thế?,tôi không ngoáy mũi.
tôi đang gãi mũi.,bạn đang làm gì thế?
tôi nghĩ tôi biết sự khác biệt giữa nhặt và gãi.,tôi đang gãi mũi.
tôi không có khăn giấy.,lần sau hãy dùng khăn giấy.
sau đó đợi cho đến khi bạn tìm thấy một chiếc khăn giấy.,tôi không có khăn giấy.
tôi không thể đợi được. đó là một trường hợp khẩn cấp.,sau đó đợi cho đến khi bạn tìm thấy một chiếc khăn giấy.
không sử dụng nước vào nó!,tôi sẽ làm sạch nó
tôi sẽ sử dụng một miếng vải ẩm.,không sử dụng nước vào nó!
đừng để nước lọt vào bất kỳ vết nứt nào.,tôi sẽ sử dụng một miếng vải ẩm.
tôi sẽ vắt miếng vải để nó gần khô.,đừng để nước lọt vào bất kỳ vết nứt nào.
đừng xóa số khỏi điều khiển từ xa.,tôi sẽ vắt miếng vải để nó gần khô.
tôi sẽ xoa nhẹ nhàng nhưng chắc chắn.,đừng xóa số khỏi điều khiển từ xa.
có lẽ chúng ta nên cho nó vào túi nhựa để giữ sạch sẽ.,tôi sẽ trả lại cho bạn sau vài phút nữa.
có chuyện gì thế?,tai tôi đang giết chết tôi.
tôi đang ở trên máy bay.,có chuyện gì thế?
Vì thế?,tôi đang ở trên máy bay.
tôi đã đến gặp hai bác sĩ.,bạn đã gặp bác sĩ chưa?
và họ không thể khắc phục vấn đề của bạn?,tôi đã đến gặp hai bác sĩ.
cả hai đều nói tôi phải sống với nó.,và họ không thể khắc phục vấn đề của bạn?
hoặc bạn có thể tránh xa máy bay.,cả hai đều nói tôi phải sống với nó.
cô ấy có được một công việc tốt không?,bạn có thấy người phụ nữ có khuôn mặt mới không?
"""cô ấy có được một công việc """"mọi thứ""""!""",cô ấy có được một công việc tốt không?
Ý anh là gì?,"""cô ấy có được một công việc """"mọi thứ""""!"""
một đội ngũ bác sĩ đã mang đến cho cô một gương mặt hoàn toàn mới.,Ý anh là gì?
tại sao họ làm vậy?,một đội ngũ bác sĩ đã mang đến cho cô một gương mặt hoàn toàn mới.
một con chó điên cắn gần hết khuôn mặt của cô.,tại sao họ làm vậy?
tôi đoán vậy.,và sau đó liệu cô ấy có trông bình thường trở lại không?
Chúa phù hộ cho y học hiện đại.,tôi đoán vậy.
có chuyện gì vậy?,có gì đó không ổn ở tay phải của tôi.
nó đau nhức hầu hết thời gian.,có chuyện gì vậy?
bạn nghĩ nó là gì?,nó đau nhức hầu hết thời gian.
Tôi không biết. tôi nghĩ đó là tuổi già.,bạn nghĩ nó là gì?
bạn thuận tay phải phải không?,đó là một câu hỏi hay có lẽ đó không phải là tuổi già.
Đúng. cả cuộc đời tôi.,bạn thuận tay phải phải không?
bạn đang mỏi tay phải của mình. ngừng sử dụng nó nhiều.,Đúng. cả cuộc đời tôi.
nhưng tôi viết tất cả bằng tay phải.,bạn đang mỏi tay phải của mình. ngừng sử dụng nó nhiều.
thay vào đó hãy bắt đầu gõ. bằng cách đó tay trái của bạn sẽ làm được một nửa công việc.,nhưng tôi viết tất cả bằng tay phải.
